misc/nupdates,misc/total_timesteps,fps,eprewmean,loss/policy_entropy,loss/policy_loss,loss/value_loss
20,10080,115,-14.549622102272728,1.4193150043487548,-2.697110176086426e-07,0.26445105820894244
40,19680,115,-14.685499169999998,1.4189123392105103,1.804530620574951e-06,6.098165625333786
60,29280,115,-14.515155400000001,1.4186438918113708,7.7858567237854e-07,4.016144455969334
80,38880,115,-13.62445767,1.4185521125793457,-4.26420010626316e-06,7.681220395863056
100,48480,115,-14.905824379999999,1.4188994288444519,4.738569259643555e-07,3.942416951060295
120,58080,115,-15.222292600000001,1.4188614249229432,-5.517899990081787e-06,4.0919786304235455
140,67680,115,-13.73143429,1.418765664100647,-3.6713667213916778e-06,0.8351326167583466
160,77280,115,-14.008616559999998,1.4191794991493225,-4.231929779052734e-06,16.499497747421266
180,86880,115,-11.047874470000002,1.4193946242332458,-1.0841526091098785e-06,2.04565289914608
200,96480,115,-11.457913779999998,1.4189786314964294,-2.9846793040633202e-06,17.41039295196533
220,106080,115,-13.82296639,1.419132375717163,-3.232620656490326e-07,7.037841784954071
240,115680,115,-14.669355609999998,1.4189252257347107,4.775822162628173e-07,6.3473814755678175
260,125280,115,-15.670711110000004,1.4188839077949524,-1.5351921319961549e-06,16.257466983795165
280,134880,115,-14.690196069999999,1.4191710233688355,2.3245811462402343e-07,16.042745733261107
300,144480,115,-15.805832850000002,1.4191833019256592,1.3615936040878295e-07,15.804962968826294
320,154080,115,-15.301251429999997,1.4193592309951781,-1.5003606677055359e-06,12.683474826812745
340,163680,116,-14.95426309,1.4194230437278748,-6.242189556360245e-07,11.533116722106934
360,173280,116,-14.940257630000001,1.4193411588668823,-4.1723251342773435e-08,3.3658513337373734
380,182880,116,-15.278341860000001,1.4193155884742736,1.2744218111038209e-06,6.687466995418072
400,192480,116,-14.641645050000005,1.4190603256225587,7.7858567237854e-08,5.409933304786682
420,202080,116,-14.290175619999998,1.4192269325256348,-5.761743523180485e-07,9.718452635407449
440,211680,116,-15.788588049999998,1.4191708326339723,1.8998980522155762e-07,11.131147792935371
460,221280,116,-15.262045770000002,1.4190932989120484,-5.673617124557496e-07,8.662359142303467
480,230880,116,-14.727723519999998,1.4186553478240966,-4.5332126319408417e-07,18.701163864135744
500,240480,116,-15.215588969999999,1.4183109879493714,-1.327693462371826e-06,3.2700754344463348
520,250080,115,-14.464435489999998,1.4180887818336487,-7.86128221079707e-06,6.650939464569092
540,259680,115,-14.164668570000002,1.4180495738983154,-1.5873461961746217e-06,12.67151174545288
560,269280,115,-15.337566209999999,1.4183761954307557,-1.8328428268432618e-07,20.508481884002684
580,278880,115,-14.807606769999998,1.4182031989097594,8.605420589447022e-08,5.533441412448883
600,288480,115,-13.541636600000002,1.4181442379951477,-6.958842277526856e-07,5.643460783362388
620,298080,115,-14.98538984,1.4181960821151733,3.5762786865234374e-08,3.773390930891037
640,307680,115,-14.098684680000003,1.4181218266487121,-1.74790620803833e-06,3.8600570634007454
660,317280,115,-13.821062780000002,1.4179579496383667,-5.368143320083618e-07,20.209983396530152
680,326880,115,-13.69073731,1.417811119556427,5.125999450683594e-07,7.87684675604105
700,336480,115,-15.22801138,1.417656672000885,-3.714766353368759e-06,15.876326441764832
720,346080,115,-14.227751189999998,1.4172738790512085,-4.1723251342773435e-08,5.861526706814766
740,355680,115,-14.534577310000001,1.41751229763031,-3.3564865589141844e-07,6.161472722887993
760,365280,115,-12.774654789999998,1.4176113843917846,-1.3664364814758301e-06,16.765384578704833
780,374880,115,-13.578380150000003,1.4181621551513672,3.8221478462219236e-07,2.2694208726286886
800,384480,115,-13.667021129999998,1.4180786967277528,-2.4959444999694824e-07,5.254276013374328
820,394080,115,-14.96712202,1.4179020762443542,-2.752244472503662e-06,5.422169435024261
840,403680,115,-14.515733099999999,1.418340766429901,-2.579251304268837e-06,7.843965667486191
860,413280,115,-13.39054846,1.4185829162597656,-3.102421760559082e-06,3.766877169907093
880,422880,115,-13.62782322,1.418668305873871,-1.9490718841552736e-06,3.5241692900657653
900,432480,115,-15.05553689,1.4185733437538146,-1.029670238494873e-06,7.4578969269990925
920,442080,115,-14.66198372,1.4182821035385131,1.9371509552001953e-07,3.7405058309435844
940,451680,115,-13.973666029999999,1.4182636857032775,-2.110004425048828e-06,11.557549858093262
960,461280,115,-12.723584529999998,1.4180528402328492,9.112060070037842e-07,0.30158171355724334
980,470880,115,-12.53375233,1.417919135093689,-7.163733243942261e-07,7.794716158509255
1000,480480,115,-14.04742157,1.4180143117904662,1.0784715414047241e-06,4.140429852902889
1020,490080,115,-13.814693839999997,1.4179771423339844,-7.063150405883789e-07,3.269478315114975
1040,499680,115,-13.938679180000001,1.4179307460784911,-3.3684656955301763e-06,16.362653771042822
1060,509280,115,-15.488833969999998,1.4178276062011719,-1.5368685126304627e-06,9.681702947616577
